Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,R-1 VEL,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,R-1 Veleta (URE Granada),,,,
1,R-4 ZUJ,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,R-4 Zujar (URE Baza),,,,
2,R-5 TOR,145.725000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,R-5 Torcal (R.C. Romeo Charlie),,,,
3,R-6 SIE,145.750000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,R-6 Sierra Bermeja (URE Estepona),,,,
4,R-7 ALM,145.775000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,R-7 Almaden (URE Jaen),,,,
5,RU-70 M,438.650000,-,7.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,RU-70 URE Malaga,,,,
6,E7U TOR,438.700000,-,7.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,EA7URF El Torcal,,,,
7,E7YAK T,438.875000,-,7.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,EA7YAK Torremolinos,,,,
8,E7YAX B,438.625000,-,7.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,EA7YAX Benalmadena,,,,
9,RU-720,439.000000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,RU-720 Granada,,,,
10,RU-692,438.650000,-,7.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,RU-692 Jaen,,,,
11,RU-752,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,RU-752 Sevilla,,,,
