Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MALAGATORRE,118.100000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
2,AVIONES,118.150000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
3,AERONAUTICA,118.425000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
4,AERONAUTICA,121.500000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
5,HELICOPTERO,122.475000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
6,BOMBEROS,146.000000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,POLICIA LOCA,155.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
8,GUARDIA CIVI,160.000000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
9,NAVAL,161.000000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
10,SAMU,162.000000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,PMR446,446.006250,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
12,PMR446,446.018750,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
13,TAXIMLAGA,450.125000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
14,TAXIMLAGA,450.225000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
15,TAXIMADRID,450.550000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
16,TAXIMADRID,450.600000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
17,TAXIBARCELO,450.775000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
18,TAXIBARCELO,450.850000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
19,TAXIVALENCI,451.050000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
20,TAXIVALENCI,451.100000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
21,TAXISEVILLA,451.350000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
22,TAXISEVILLA,451.400000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,PMR446EXT,446.200000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,PMR446EXT,446.212500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
25,PMR446EXT,446.225000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
26,PMR446EXT,446.237500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
27,PMR446EXT,446.250000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
28,PMR446EXT,446.262500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
29,PMR446EXT,446.275000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
30,PMR446EXT,446.287500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
31,PMR446EXT,446.300000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
32,PMR446EXT,446.312500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
33,PMR446EXT,446.325000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
34,PMR446EXT,446.337500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
35,PMR446EXT,446.350000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
36,PMR446EXT,446.362500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
37,PMR446EXT,446.375000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
38,PMR446EXT,446.387500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
39,PMR446EXT,446.400000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
40,PMR446EXT,446.412500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
41,PMR446EXT,446.425000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
42,PMR446EXT,446.437500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
43,PMR446EXT,446.450000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
